canonical_id,canonical_name,n_surface_forms,surface_forms,aliases,merge_kinds,n_spectra,n_sources,sources,n_excitations,excitations,cross_source_merge,fine_class,broad_class,old_family
(+)-arabinose,(+)-arabinose,1,(+)-arabinose,,,1,1,RamanBioLib,1,1064.0,False,mono_oligosaccharide,carbohydrate,saccharide
(+)-fucose,(+)-fucose,1,(+)-fucose,,,1,1,RamanBioLib,1,785.0,False,mono_oligosaccharide,carbohydrate,saccharide
(+)-galactosamine,(+)-galactosamine,1,(+)-galactosamine,,,1,1,RamanBioLib,1,785.0,False,mono_oligosaccharide,carbohydrate,saccharide
(+)-galactose,(+)-galactose,2,(+)-galactose;galactose,galactose,stereo_prefix_generic,4,2,RamanBioLib;gobbato_raman_metabolites,2,785.0;1064.0,True,mono_oligosaccharide,carbohydrate,saccharide
(+)-glucose,(+)-glucose,3,(+)-dextrose;(+)-glucose;glucose,(+)-dextrose;glucose,stereo_prefix_generic;synonym,6,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,2,785.0;1064.0,True,mono_oligosaccharide,carbohydrate,saccharide
(+)-lactose,(+)-lactose,2,(+)-lactose;lactose,lactose,stereo_prefix_generic,2,1,RamanBioLib,2,785.0;1064.0,False,mono_oligosaccharide,carbohydrate,saccharide
(+)-maltose,(+)-maltose,1,(+)-maltose,,,1,1,RamanBioLib,1,1064.0,False,mono_oligosaccharide,carbohydrate,saccharide
(+)-mannose,(+)-mannose,2,(+)-mannose;mannose,mannose,stereo_prefix_generic,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,True,mono_oligosaccharide,carbohydrate,saccharide
(+)-raffinose pentahydrate,(+)-raffinose pentahydrate,1,(+)-raffinose pentahydrate,,,1,1,RamanBioLib,1,1064.0,False,mono_oligosaccharide,carbohydrate,saccharide
(+)-sucrose,(+)-sucrose,1,(+)-sucrose,,,1,1,RamanBioLib,1,1064.0,False,mono_oligosaccharide,carbohydrate,saccharide
(+)-trehalose,(+)-trehalose,1,(+)-trehalose,,,1,1,RamanBioLib,1,785.0,False,mono_oligosaccharide,carbohydrate,saccharide
(+)-xylose,(+)-xylose,1,(+)-xylose,,,2,1,RamanBioLib,2,785.0;1064.0,False,mono_oligosaccharide,carbohydrate,saccharide
(-)-arabinose,(-)-arabinose,1,(-)-arabinose,,,1,1,RamanBioLib,1,785.0,False,mono_oligosaccharide,carbohydrate,saccharide
(-)-fructose,(-)-fructose,2,(-)-fructose;fructose,fructose,stereo_prefix_generic,5,2,RamanBioLib;gobbato_raman_metabolites,2,785.0;1064.0,True,mono_oligosaccharide,carbohydrate,saccharide
(-)-ribose,(-)-ribose,1,(-)-ribose,,,1,1,RamanBioLib,1,1064.0,False,mono_oligosaccharide,carbohydrate,saccharide
12-methyltetradecanoic acid,12-methyltetradecanoic acid,1,12-methyltetradecanoic acid,,,1,1,RamanBioLib,1,785.0,False,fatty_acid,lipid,fatty_acid
13-methylmyristicacid,13-methylmyristicacid,1,13-methylmyristicacid,,,1,1,RamanBioLib,1,785.0,False,fatty_acid,lipid,fatty_acid
14-methylhexadecanoic acid,14-methylhexadecanoic acid,1,14-methylhexadecanoic acid,,,1,1,RamanBioLib,1,785.0,False,fatty_acid,lipid,fatty_acid
14-methylpentadecanoic acid,14-methylpentadecanoic acid,1,14-methylpentadecanoic acid,,,1,1,RamanBioLib,1,785.0,False,fatty_acid,lipid,fatty_acid
15-methylpalmiticacid,15-methylpalmiticacid,1,15-methylpalmiticacid,,,1,1,RamanBioLib,1,785.0,False,fatty_acid,lipid,fatty_acid
2-deoxy-d-ribose,2-deoxy-d-ribose,1,2-deoxy-d-ribose,,,1,1,RamanBioLib,1,1064.0,False,mono_oligosaccharide,carbohydrate,saccharide
a-dna,a-dna,1,a-dna,,,1,1,RamanBioLib,1,514.5,False,nucleic_acid_polymer,nucleic,nucleic_acid
acetoacetate,acetoacetate,1,acetoacetate,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,carboxylic_acid_metabolite,energy_metabolism,organic_acid
acetyl-coa,acetyl-coa,2,acetyl coenzyme a;acetyl-coa,acetyl coenzyme a,orthographic,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,True,sulfur_thiol_cofactor,redox_cofactor,cofactor
adenine,adenine,1,adenine,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,purine,nucleic,purine
alanine,alanine,1,alanine,,,5,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
albumin,albumin,2,alb;albumin,alb,truncation,7,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,4,488.0;532.0;785.0;1064.0,True,peptide_protein,protein_amino_acid,protein
amylopectin,amylopectin,1,amylopectin,,,2,1,RamanBioLib,2,785.0;1064.0,False,polysaccharide,carbohydrate,polysaccharide
amylose,amylose,1,amylose,,,2,1,RamanBioLib,2,785.0;1064.0,False,polysaccharide,carbohydrate,polysaccharide
arachidic acid,arachidic acid,1,arachidic acid,,,1,1,RamanBioLib,1,532.0,False,fatty_acid,lipid,fatty_acid
arachidonic acid,arachidonic acid,1,arachidonic acid,,,1,1,RamanBioLib,1,532.0,False,fatty_acid,lipid,fatty_acid
arginine,arginine,1,arginine,,,5,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
ascorbate,ascorbate,1,ascorbate,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,carboxylic_acid_metabolite,energy_metabolism,organic_acid
asparagine,asparagine,1,asparagine,,,1,1,RamanBioLib,1,488.0,False,free_amino_acid,protein_amino_acid,amino_acid
aspartate,aspartate,2,aspartate;aspartic acid,aspartic acid,protonation_state,2,2,RamanBioLib;amino_acid_raman_grounding,2,488.0;785.0,True,free_amino_acid,protein_amino_acid,organic_acid
b-dna,b-dna,1,b-dna,,,1,1,RamanBioLib,1,514.5,False,nucleic_acid_polymer,nucleic,nucleic_acid
carbonic anhydrase,carbonic anhydrase,1,carbonic anhydrase,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
carotene,carotene,1,carotene,,,1,1,amino_acid_raman_grounding,1,785.0,False,chromophore_pigment,redox_cofactor,carotenoid
cellulose,cellulose,1,cellulose,,,1,1,RamanBioLib,1,785.0,False,polysaccharide,carbohydrate,polysaccharide
ceramide,ceramide,1,ceramide,,,2,1,RamanBioLib,2,850.0;1064.0,False,phospholipid_sphingolipid,lipid,phospholipid
chitin,chitin,1,chitin,,,1,1,RamanBioLib,1,785.0,False,polysaccharide,carbohydrate,polysaccharide
cholesterol,cholesterol,1,cholesterol,,,4,2,RamanBioLib;gobbato_raman_metabolites,2,532.0;785.0,False,sterol_steroid,lipid,lipid
cholesteryl linoleate,cholesteryl linoleate,1,cholesteryl linoleate,,,1,1,RamanBioLib,1,532.0,False,sterol_steroid,lipid,sterol
cholesteryl oleate,cholesteryl oleate,1,cholesteryl oleate,,,1,1,RamanBioLib,1,532.0,False,sterol_steroid,lipid,sterol
cholesteryl palmitate,cholesteryl palmitate,1,cholesteryl palmitate,,,1,1,RamanBioLib,1,532.0,False,sterol_steroid,lipid,sterol
cholesteryl stearate,cholesteryl stearate,1,cholesteryl stearate,,,1,1,RamanBioLib,1,532.0,False,sterol_steroid,lipid,sterol
citrate,citrate,1,citrate,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,carboxylic_acid_metabolite,energy_metabolism,organic_acid
coenzyme a,coenzyme a,1,coenzyme a,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,sulfur_thiol_cofactor,redox_cofactor,cofactor
collagen,collagen,1,collagen,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
creatinine,creatinine,1,creatinine,,,3,1,gobbato_raman_metabolites,1,785.0,False,small_nitrogenous,energy_metabolism,small_nitrogenous
cysteine,cysteine,1,cysteine,,,3,1,gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
cytochrome c,cytochrome c,1,cytochrome c,,,2,1,RamanBioLib,2,488.0;532.0,False,peptide_protein,protein_amino_acid,protein
cytosine,cytosine,1,cytosine,,,1,1,RamanBioLib,1,785.0,False,pyrimidine,nucleic,pyrimidine
diethylstilbestrol,diethylstilbestrol,1,diethylstilbestrol,,,1,1,RamanBioLib,1,532.0,False,sterol_steroid,lipid,sterol
elaidic acid,elaidic acid,1,elaidic acid,,,1,1,RamanBioLib,1,532.0,False,fatty_acid,lipid,organic_acid
elastase,elastase,1,elastase,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
elastin,elastin,1,elastin,,,1,1,RamanBioLib,1,1064.0,False,peptide_protein,protein_amino_acid,protein
ergothioneine,ergothioneine,1,ergothioneine,,,3,1,gobbato_raman_metabolites,1,785.0,False,sulfur_thiol_cofactor,redox_cofactor,cofactor
estradiol,estradiol,1,estradiol,,,1,1,RamanBioLib,1,532.0,False,sterol_steroid,lipid,sterol
estriol,estriol,1,estriol,,,1,1,RamanBioLib,1,532.0,False,sterol_steroid,lipid,sterol
estrone,estrone,1,estrone,,,1,1,RamanBioLib,1,532.0,False,sterol_steroid,lipid,sterol
ethinylestradiol,ethinylestradiol,1,ethinylestradiol,,,1,1,RamanBioLib,1,532.0,False,sterol_steroid,lipid,sterol
ferritin,ferritin,1,ferritin,,,3,1,RamanBioLib,3,488.0;532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
fructose-6-phosphate,fructose-6-phosphate,1,fructose-6-phosphate,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,phosphate_metabolite,energy_metabolism,saccharide
fumarate,fumarate,1,fumarate,,,1,1,RamanBioLib,1,785.0,False,carboxylic_acid_metabolite,energy_metabolism,organic_acid
glucosamine,glucosamine,1,glucosamine,,,1,1,RamanBioLib,1,488.0,False,mono_oligosaccharide,carbohydrate,saccharide
glucose oxidase,glucose oxidase,1,glucose oxidase,,,2,1,RamanBioLib,2,532.0;1064.0,False,peptide_protein,protein_amino_acid,protein
glutamate,glutamate,1,glutamate,,,6,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
glutathione,glutathione,2,glutathione;gluth,gluth,truncation,5,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,True,sulfur_thiol_cofactor,redox_cofactor,cofactor
glutathione transferase,glutathione transferase,1,glutathione transferase,,,2,1,RamanBioLib,2,488.0;532.0,False,peptide_protein,protein_amino_acid,protein
glycerol,glycerol,1,glycerol,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,mono_oligosaccharide,carbohydrate,polyol
glycine,glycine,1,glycine,,,5,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
glycogen,glycogen,1,glycogen,,,4,2,RamanBioLib;gobbato_raman_metabolites,2,785.0;1064.0,False,polysaccharide,carbohydrate,polysaccharide
guanine,guanine,1,guanine,,,4,2,RamanBioLib;gobbato_raman_metabolites,1,785.0,False,purine,nucleic,purine
hemoglobin,hemoglobin,1,hemoglobin,,,2,1,RamanBioLib,2,488.0;532.0,False,peptide_protein,protein_amino_acid,protein
histidine,histidine,1,histidine,,,5,3,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
horseradish peroxidase,horseradish peroxidase,1,horseradish peroxidase,,,2,1,RamanBioLib,2,488.0;532.0,False,peptide_protein,protein_amino_acid,protein
hydroxyproline,hydroxyproline,1,hydroxyproline,,,3,1,gobbato_raman_metabolites,1,785.0,False,free_amino_acid,protein_amino_acid,amino_acid
hypoxanthine,hypoxanthine,1,hypoxanthine,,,3,1,gobbato_raman_metabolites,1,785.0,False,purine,nucleic,purine
insulin,insulin,1,insulin,,,1,1,RamanBioLib,1,633.0,False,peptide_protein,protein_amino_acid,protein
