canonical_id,n_source_labels,source_labels,normalized_labels,source_datasets,n_spectra,n_excitations,excitations,chemistry_class,class_conflict,structure_identifier,identifier_source
(+)-arabinose,1,l-(+)-arabinose,(+)-arabinose,RamanBioLib,1,1,1064.0,mono_oligosaccharide,False,,none available in source data
(+)-fucose,1,d-(+)-fucose,(+)-fucose,RamanBioLib,1,1,785.0,mono_oligosaccharide,False,,none available in source data
(+)-galactosamine,1,d-(+)-galactosamine,(+)-galactosamine,RamanBioLib,1,1,785.0,mono_oligosaccharide,False,,none available in source data
(+)-galactose,2,d-(+)-galactose;galactose,(+)-galactose;galactose,RamanBioLib;gobbato_raman_metabolites,4,2,785.0;1064.0,mono_oligosaccharide,False,,none available in source data
(+)-glucose,3,d-(+)-dextrose;d-(+)-glucose;glucose,(+)-dextrose;(+)-glucose;glucose,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,6,2,785.0;1064.0,mono_oligosaccharide,False,,none available in source data
(+)-lactose,2,d-(+)-lactose monohydrate;lactose,(+)-lactose;lactose,RamanBioLib,2,2,785.0;1064.0,mono_oligosaccharide,False,,none available in source data
(+)-maltose,1,d-(+)-maltose monohydrate,(+)-maltose,RamanBioLib,1,1,1064.0,mono_oligosaccharide,False,,none available in source data
(+)-mannose,2,d-(+)-mannose;mannose,(+)-mannose;mannose,RamanBioLib;gobbato_raman_metabolites,4,1,785.0,mono_oligosaccharide,False,,none available in source data
(+)-raffinose pentahydrate,1,d-(+)-raffinose pentahydrate,(+)-raffinose pentahydrate,RamanBioLib,1,1,1064.0,mono_oligosaccharide,False,,none available in source data
(+)-sucrose,1,d-(+)-sucrose,(+)-sucrose,RamanBioLib,1,1,1064.0,mono_oligosaccharide,False,,none available in source data
(+)-trehalose,1,d-(+)-trehalose,(+)-trehalose,RamanBioLib,1,1,785.0,mono_oligosaccharide,False,,none available in source data
(+)-xylose,1,d-(+)-xylose,(+)-xylose,RamanBioLib,2,2,785.0;1064.0,mono_oligosaccharide,False,,none available in source data
(-)-arabinose,1,d-(-)-arabinose,(-)-arabinose,RamanBioLib,1,1,785.0,mono_oligosaccharide,False,,none available in source data
(-)-fructose,2,d-(-)-fructose;fructose,(-)-fructose;fructose,RamanBioLib;gobbato_raman_metabolites,5,2,785.0;1064.0,mono_oligosaccharide,False,,none available in source data
(-)-ribose,1,d-(-)-ribose,(-)-ribose,RamanBioLib,1,1,1064.0,mono_oligosaccharide,False,,none available in source data
12-methyltetradecanoic acid,1,12-methyltetradecanoic acid,12-methyltetradecanoic acid,RamanBioLib,1,1,785.0,fatty_acid,False,,none available in source data
13-methylmyristicacid,1,13-methylmyristicacid,13-methylmyristicacid,RamanBioLib,1,1,785.0,fatty_acid,False,,none available in source data
14-methylhexadecanoic acid,1,14-methylhexadecanoic acid,14-methylhexadecanoic acid,RamanBioLib,1,1,785.0,fatty_acid,False,,none available in source data
14-methylpentadecanoic acid,1,14-methylpentadecanoic acid,14-methylpentadecanoic acid,RamanBioLib,1,1,785.0,fatty_acid,False,,none available in source data
15-methylpalmiticacid,1,15-methylpalmiticacid,15-methylpalmiticacid,RamanBioLib,1,1,785.0,fatty_acid,False,,none available in source data
2-deoxy-d-ribose,1,2-deoxy-d-ribose,2-deoxy-d-ribose,RamanBioLib,1,1,1064.0,mono_oligosaccharide,False,,none available in source data
a-dna,1,a-dna,a-dna,RamanBioLib,1,1,514.5,nucleic_acid_polymer,False,,none available in source data
acetoacetate,1,acetoacetate,acetoacetate,RamanBioLib;gobbato_raman_metabolites,4,1,785.0,carboxylic_acid_metabolite,False,,none available in source data
acetyl-coa,2,acetyl coenzyme a;acetyl-coa,acetyl coenzyme a;acetyl-coa,RamanBioLib;gobbato_raman_metabolites,4,1,785.0,sulfur_thiol_cofactor,False,,none available in source data
adenine,1,adenine,adenine,RamanBioLib;gobbato_raman_metabolites,4,1,785.0,purine,False,,none available in source data
alanine,3,ala;alanine;l-alanine,alanine,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,5,1,785.0,free_amino_acid,False,,none available in source data
albumin,2,alb;albumin,alb;albumin,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,7,4,488.0;532.0;785.0;1064.0,peptide_protein,False,,none available in source data
amylopectin,1,amylopectin,amylopectin,RamanBioLib,2,2,785.0;1064.0,polysaccharide,False,,none available in source data
amylose,1,amylose,amylose,RamanBioLib,2,2,785.0;1064.0,polysaccharide,False,,none available in source data
arachidic acid,1,arachidic acid,arachidic acid,RamanBioLib,1,1,532.0,fatty_acid,False,,none available in source data
arachidonic acid,1,arachidonic acid,arachidonic acid,RamanBioLib,1,1,532.0,fatty_acid,False,,none available in source data
arginine,3,arg;arginine;l-arginine,arginine,RamanBioLib;amino_acid_raman_grounding;gobbato_raman_metabolites,5,1,785.0,free_amino_acid,False,,none available in source data
ascorbate,2,ascorbate;ascorbic acid,ascorbate,RamanBioLib;gobbato_raman_metabolites,4,1,785.0,carboxylic_acid_metabolite,False,,none available in source data
asparagine,1,l-asparagine,asparagine,RamanBioLib,1,1,488.0,free_amino_acid,False,,none available in source data
aspartate,2,asp;l-aspartic acid,aspartate;aspartic acid,RamanBioLib;amino_acid_raman_grounding,2,2,488.0;785.0,free_amino_acid,False,,none available in source data
b-dna,1,b-dna,b-dna,RamanBioLib,1,1,514.5,nucleic_acid_polymer,False,,none available in source data
carbonic anhydrase,1,carbonic anhydrase,carbonic anhydrase,RamanBioLib,3,3,488.0;532.0;1064.0,peptide_protein,False,,none available in source data
carotene,1,carotene,carotene,amino_acid_raman_grounding,1,1,785.0,chromophore_pigment,False,,none available in source data
cellulose,1,cellulose,cellulose,RamanBioLib,1,1,785.0,polysaccharide,False,,none available in source data
ceramide,1,ceramide,ceramide,RamanBioLib,2,2,850.0;1064.0,phospholipid_sphingolipid,False,,none available in source data
chitin,1,chitin,chitin,RamanBioLib,1,1,785.0,polysaccharide,False,,none available in source data
cholesterol,1,cholesterol,cholesterol,RamanBioLib;gobbato_raman_metabolites,4,2,532.0;785.0,sterol_steroid,False,,none available in source data
cholesteryl linoleate,1,cholesteryl linoleate,cholesteryl linoleate,RamanBioLib,1,1,532.0,sterol_steroid,False,,none available in source data
cholesteryl oleate,1,cholesteryl oleate,cholesteryl oleate,RamanBioLib,1,1,532.0,sterol_steroid,False,,none available in source data
cholesteryl palmitate,1,cholesteryl palmitate,cholesteryl palmitate,RamanBioLib,1,1,532.0,sterol_steroid,False,,none available in source data
cholesteryl stearate,1,cholesteryl stearate,cholesteryl stearate,RamanBioLib,1,1,532.0,sterol_steroid,False,,none available in source data
citrate,2,citrate;citric acid,citrate,RamanBioLib;gobbato_raman_metabolites,4,1,785.0,carboxylic_acid_metabolite,False,,none available in source data
